PERMNO,MthCalDt,MthPrc,MthRet,MthVol,ShrOut,IssuerNm,UGVKEY,APERMNO,conm,datadate,indfmt,consol,popsrc,datafmt,curcd,bkvlps,costat
10104,30/01/1987,27.000000,0.301205,4049133,13359,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1986,INDL,C,D,STD,USD,2.1723,A
10104,27/02/1987,38.500000,0.425926,3123464,13359,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1986,INDL,C,D,STD,USD,2.1723,A
10104,31/03/1987,22.000000,0.142857,2108546,26718,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1986,INDL,C,D,STD,USD,2.1723,A
10104,30/04/1987,23.500000,0.068182,5580413,26718,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1986,INDL,C,D,STD,USD,2.1723,A
10104,29/05/1987,27.250000,0.159574,3152846,28790,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1986,INDL,C,D,STD,USD,2.1723,A
10104,30/06/1987,22.250000,-0.183486,4040318,28790,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1987,INDL,C,D,STD,USD,2.8710,A
10104,31/07/1987,22.750000,0.022472,3880849,28790,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1987,INDL,C,D,STD,USD,2.8710,A
10104,31/08/1987,26.750000,0.175824,3228883,29070,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1987,INDL,C,D,STD,USD,2.8710,A
10104,30/09/1987,32.500000,0.214953,4031591,29070,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1987,INDL,C,D,STD,USD,2.8710,A
10104,30/10/1987,25.000000,-0.230769,9375126,29070,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1987,INDL,C,D,STD,USD,2.8710,A
10104,30/11/1987,21.750000,-0.130000,3879908,29070,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1987,INDL,C,D,STD,USD,2.8710,A
10104,31/12/1987,14.500000,0.333333,5054870,58140,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1987,INDL,C,D,STD,USD,2.8710,A
10104,29/01/1988,14.000000,-0.034483,9238558,58140,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1987,INDL,C,D,STD,USD,2.8710,A
10104,29/02/1988,15.125000,0.080357,6289246,59646,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1987,INDL,C,D,STD,USD,2.8710,A
10104,31/03/1988,16.250000,0.074380,10692916,59646,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1987,INDL,C,D,STD,USD,2.8710,A
10104,29/04/1988,16.750000,0.030769,5413965,59646,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1987,INDL,C,D,STD,USD,2.8710,A
10104,31/05/1988,16.750000,0.000000,5726496,60116,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1987,INDL,C,D,STD,USD,2.8710,A
10104,30/06/1988,19.750000,0.179104,10279374,60116,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1988,INDL,C,D,STD,USD,2.2397,A
10104,29/07/1988,19.000000,-0.037975,9246656,60116,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1988,INDL,C,D,STD,USD,2.2397,A
10104,31/08/1988,18.500000,-0.026316,7073307,61406,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1988,INDL,C,D,STD,USD,2.2397,A
10104,30/09/1988,20.125000,0.087838,5975025,61406,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1988,INDL,C,D,STD,USD,2.2397,A
10104,31/10/1988,15.750000,-0.217391,16064746,61406,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1988,INDL,C,D,STD,USD,2.2397,A
10104,30/11/1988,17.250000,0.095238,8841975,62011,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1988,INDL,C,D,STD,USD,2.2397,A
10104,30/12/1988,19.500000,0.130435,13711738,62011,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1988,INDL,C,D,STD,USD,2.2397,A
10104,31/01/1989,23.625000,0.211538,15525773,62011,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1988,INDL,C,D,STD,USD,2.2397,A
10104,28/02/1989,22.500000,-0.047619,9819450,63021,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1988,INDL,C,D,STD,USD,2.2397,A
10104,31/03/1989,24.125000,0.072222,14018897,63021,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1988,INDL,C,D,STD,USD,2.2397,A
10104,28/04/1989,29.000000,0.202073,12054207,63021,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1988,INDL,C,D,STD,USD,2.2397,A
10104,31/05/1989,30.500000,0.051724,10846230,63021,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1988,INDL,C,D,STD,USD,2.2397,A
10104,30/06/1989,29.750000,-0.024590,10702068,63021,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1989,INDL,C,D,STD,USD,3.6327,A
10104,31/07/1989,15.375000,0.033613,16154472,126042,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1989,INDL,C,D,STD,USD,3.6327,A
10104,31/08/1989,18.750000,0.219512,21692257,127775,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1989,INDL,C,D,STD,USD,3.6327,A
10104,29/09/1989,23.625000,0.260000,19813018,127775,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1989,INDL,C,D,STD,USD,3.6327,A
10104,31/10/1989,23.250000,-0.015873,22625151,127775,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1989,INDL,C,D,STD,USD,3.6327,A
10104,30/11/1989,24.000000,0.032258,12551359,129406,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1989,INDL,C,D,STD,USD,3.6327,A
10104,29/12/1989,23.375000,-0.026042,17079025,129406,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1989,INDL,C,D,STD,USD,3.6327,A
10104,31/01/1990,21.500000,-0.080214,34899175,129406,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1989,INDL,C,D,STD,USD,3.6327,A
10104,28/02/1990,22.375000,0.040698,19911507,130342,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1989,INDL,C,D,STD,USD,3.6327,A
10104,30/03/1990,18.875000,-0.156425,58427312,130342,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1989,INDL,C,D,STD,USD,3.6327,A
10104,30/04/1990,15.875000,-0.158940,35141915,130342,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1989,INDL,C,D,STD,USD,3.6327,A
10104,31/05/1990,19.750000,0.244094,40006043,131138,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1989,INDL,C,D,STD,USD,3.6327,A
10104,29/06/1990,23.125000,0.170886,31042265,131138,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1990,INDL,C,D,STD,USD,2.9556,A
10104,31/07/1990,16.875000,-0.270270,36592921,131138,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1990,INDL,C,D,STD,USD,2.9556,A
10104,31/08/1990,11.625000,-0.311111,32614710,131881,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1990,INDL,C,D,STD,USD,2.9556,A
10104,28/09/1990,6.500000,-0.440860,50856219,131881,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1990,INDL,C,D,STD,USD,2.9556,A
10104,31/10/1990,5.375000,-0.173077,23109655,131881,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1990,INDL,C,D,STD,USD,2.9556,A
10104,30/11/1990,7.875000,0.465116,25583134,133688,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1990,INDL,C,D,STD,USD,2.9556,A
10104,31/12/1990,7.875000,0.000000,22199717,133688,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1990,INDL,C,D,STD,USD,2.9556,A
10104,31/01/1991,9.000000,0.142857,52887852,133688,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1990,INDL,C,D,STD,USD,2.9556,A
10104,28/02/1991,9.000000,0.000000,36291508,137319,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1990,INDL,C,D,STD,USD,2.9556,A
10104,28/03/1991,9.000000,0.000000,30020316,137319,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1990,INDL,C,D,STD,USD,2.9556,A
10104,30/04/1991,9.250000,0.027778,30462454,137319,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1990,INDL,C,D,STD,USD,2.9556,A
10104,31/05/1991,7.500000,-0.189189,18580333,136297,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1990,INDL,C,D,STD,USD,2.9556,A
10104,28/06/1991,8.500000,0.133333,20803961,136297,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1991,INDL,C,D,STD,USD,2.5289,A
10104,31/07/1991,9.125000,0.073529,19807420,136297,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1991,INDL,C,D,STD,USD,2.5289,A
10104,30/08/1991,11.250000,0.232877,22731990,136874,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1991,INDL,C,D,STD,USD,2.5289,A
10104,30/09/1991,13.375000,0.188889,31532965,136874,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1991,INDL,C,D,STD,USD,2.5289,A
10104,31/10/1991,15.750000,0.177570,34518860,136874,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1991,INDL,C,D,STD,USD,2.5289,A
10104,29/11/1991,13.500000,-0.142857,20997598,138318,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1991,INDL,C,D,STD,USD,2.5289,A
10104,31/12/1991,14.500000,0.074074,23086745,138318,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1991,INDL,C,D,STD,USD,2.5289,A
10104,31/01/1992,18.500000,0.275862,46579836,138318,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1991,INDL,C,D,STD,USD,2.5289,A
10104,28/02/1992,20.000000,0.081081,19781836,138987,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1991,INDL,C,D,STD,USD,2.5289,A
10104,31/03/1992,13.500000,-0.325000,42262774,138987,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1991,INDL,C,D,STD,USD,2.5289,A
10104,30/04/1992,13.875000,0.027778,24278279,138987,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1991,INDL,C,D,STD,USD,2.5289,A
10104,29/05/1992,14.875000,0.072072,15189014,139897,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1991,INDL,C,D,STD,USD,2.5289,A
10104,30/06/1992,15.250000,0.025210,20471556,139897,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1992,INDL,C,D,STD,USD,3.1097,A
10104,31/07/1992,18.625000,0.221311,32145854,139897,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1992,INDL,C,D,STD,USD,3.1097,A
10104,31/08/1992,17.500000,-0.060403,15256166,140367,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1992,INDL,C,D,STD,USD,3.1097,A
10104,30/09/1992,20.000000,0.142857,33968922,140367,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1992,INDL,C,D,STD,USD,3.1097,A
10104,30/10/1992,22.250000,0.112500,34181363,140367,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1992,INDL,C,D,STD,USD,3.1097,A
10104,30/11/1992,22.250000,0.000000,23625768,142021,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1992,INDL,C,D,STD,USD,3.1097,A
10104,31/12/1992,28.375000,0.275281,37414852,142021,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1992,INDL,C,D,STD,USD,3.1097,A
10104,29/01/1993,32.500000,0.145374,38665005,142021,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1992,INDL,C,D,STD,USD,3.1097,A
10104,26/02/1993,32.750000,0.007692,32660464,142904,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1992,INDL,C,D,STD,USD,3.1097,A
10104,31/03/1993,36.750000,0.122137,36473493,142904,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1992,INDL,C,D,STD,USD,3.1097,A
10104,30/04/1993,35.625000,-0.030612,26253233,142904,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1992,INDL,C,D,STD,USD,3.1097,A
10104,28/05/1993,41.750000,0.171930,31849348,142228,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1992,INDL,C,D,STD,USD,3.1097,A
10104,30/06/1993,49.250000,0.179641,34981048,142228,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1993,INDL,C,D,STD,USD,3.7126,A
10104,30/07/1993,50.375000,0.022843,30811032,142228,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1993,INDL,C,D,STD,USD,3.7126,A
10104,31/08/1993,51.500000,0.022333,34481168,142427,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1993,INDL,C,D,STD,USD,3.7126,A
10104,30/09/1993,61.375000,0.191748,38193755,142427,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1993,INDL,C,D,STD,USD,3.7126,A
10104,29/10/1993,59.250000,-0.034623,36353378,142427,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1993,INDL,C,D,STD,USD,3.7126,A
10104,30/11/1993,31.625000,0.067511,38140098,290029,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1993,INDL,C,D,STD,USD,3.7126,A
10104,31/12/1993,28.750000,-0.090909,72862969,290029,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1993,INDL,C,D,STD,USD,3.7126,A
10104,31/01/1994,32.125000,0.117391,67136691,290029,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1993,INDL,C,D,STD,USD,3.7126,A
10104,28/02/1994,33.000000,0.027237,39145076,285647,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1993,INDL,C,D,STD,USD,3.7126,A
10104,31/03/1994,32.125000,-0.026515,42907873,285647,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1993,INDL,C,D,STD,USD,3.7126,A
10104,29/04/1994,29.875000,-0.070039,50605217,285647,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1993,INDL,C,D,STD,USD,3.7126,A
10104,31/05/1994,34.250000,0.146444,48035747,286361,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1993,INDL,C,D,STD,USD,3.7126,A
10104,30/06/1994,37.500000,0.094891,68620239,286361,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1994,INDL,C,D,STD,USD,2.5861,A
10104,29/07/1994,38.250000,0.020000,41250688,286361,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1994,INDL,C,D,STD,USD,2.5861,A
10104,31/08/1994,42.687500,0.116013,44752332,286149,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1994,INDL,C,D,STD,USD,2.5861,A
10104,30/09/1994,43.000000,0.007321,36021493,286149,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1994,INDL,C,D,STD,USD,2.5861,A
10104,31/10/1994,46.000000,0.069767,36429172,286149,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1994,INDL,C,D,STD,USD,2.5861,A
10104,30/11/1994,41.250000,-0.103261,42779454,286471,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1994,INDL,C,D,STD,USD,2.5861,A
10104,30/12/1994,44.125000,0.069697,52538138,286471,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1994,INDL,C,D,STD,USD,2.5861,A
10104,31/01/1995,42.625000,-0.033994,44336053,286471,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1994,INDL,C,D,STD,USD,2.5861,A
10104,28/02/1995,31.375000,0.104106,34453199,431243,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1994,INDL,C,D,STD,USD,2.5861,A
10104,31/03/1995,31.250000,-0.003984,62285982,431243,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1994,INDL,C,D,STD,USD,2.5861,A
10104,28/04/1995,30.500000,-0.024000,72473776,431243,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1994,INDL,C,D,STD,USD,2.5861,A
10104,31/05/1995,34.750000,0.139344,84585068,433357,ORACLE SYSTEMS CORP,012142,10104,ORACLE CORP,31/05/1994,INDL,C,D,STD,USD,2.5861,A
10104,30/06/1995,38.625000,0.111511,65476151,433357,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1995,INDL,C,D,STD,USD,2.8840,A
10104,31/07/1995,41.875000,0.084142,59836905,433357,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1995,INDL,C,D,STD,USD,2.8840,A
10104,31/08/1995,40.125000,-0.041791,55107533,434614,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1995,INDL,C,D,STD,USD,2.8840,A
10104,29/09/1995,38.375000,-0.043614,104187839,434614,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1995,INDL,C,D,STD,USD,2.8840,A
10104,31/10/1995,43.625000,0.136808,90622909,434614,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1995,INDL,C,D,STD,USD,2.8840,A
10104,30/11/1995,45.375000,0.040115,67699213,435304,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1995,INDL,C,D,STD,USD,2.8840,A
10104,29/12/1995,42.375000,-0.066116,85642107,435304,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1995,INDL,C,D,STD,USD,2.8840,A
10104,31/01/1996,47.750000,0.126844,106864357,435304,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1995,INDL,C,D,STD,USD,2.8840,A
10104,29/02/1996,52.000000,0.089005,83332398,436152,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1995,INDL,C,D,STD,USD,2.8840,A
10104,29/03/1996,47.125000,-0.093750,94601597,436152,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1995,INDL,C,D,STD,USD,2.8840,A
10104,30/04/1996,33.750000,0.074271,137934399,654228,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1995,INDL,C,D,STD,USD,2.8840,A
10104,31/05/1996,33.125000,-0.018519,83073452,655826,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1995,INDL,C,D,STD,USD,2.8840,A
10104,28/06/1996,39.437500,0.190566,99089194,655826,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1996,INDL,C,D,STD,USD,2.8521,A
10104,31/07/1996,39.125000,-0.007924,97314163,655826,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1996,INDL,C,D,STD,USD,2.8521,A
10104,30/08/1996,35.250000,-0.099042,86202494,657310,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1996,INDL,C,D,STD,USD,2.8521,A
10104,30/09/1996,42.562500,0.207447,101185165,657310,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1996,INDL,C,D,STD,USD,2.8521,A
10104,31/10/1996,42.312500,-0.005874,78819215,657310,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1996,INDL,C,D,STD,USD,2.8521,A
10104,29/11/1996,49.000000,0.158050,84338667,657912,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1996,INDL,C,D,STD,USD,2.8521,A
10104,31/12/1996,41.750000,-0.147959,126452795,657912,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1996,INDL,C,D,STD,USD,2.8521,A
10104,31/01/1997,38.875000,-0.068862,175516903,657912,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1996,INDL,C,D,STD,USD,2.8521,A
10104,28/02/1997,39.250000,0.009646,105015533,653410,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1996,INDL,C,D,STD,USD,2.8521,A
10104,31/03/1997,38.562500,-0.017516,168920209,653410,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1996,INDL,C,D,STD,USD,2.8521,A
10104,30/04/1997,39.750000,0.030794,119827412,653410,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1996,INDL,C,D,STD,USD,2.8521,A
10104,30/05/1997,46.625000,0.172956,141122766,651980,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1996,INDL,C,D,STD,USD,2.8521,A
10104,30/06/1997,50.375000,0.080429,139704474,651980,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1997,INDL,C,D,STD,USD,3.6346,A
10104,31/07/1997,54.437500,0.080645,107329537,651980,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1997,INDL,C,D,STD,USD,3.6346,A
10104,29/08/1997,38.125000,0.050517,122655531,980498,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1997,INDL,C,D,STD,USD,3.6346,A
10104,30/09/1997,36.437500,-0.044262,157243419,980498,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1997,INDL,C,D,STD,USD,3.6346,A
10104,31/10/1997,35.781250,-0.018010,146945108,980498,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1997,INDL,C,D,STD,USD,3.6346,A
10104,28/11/1997,33.312500,-0.068996,109121801,983964,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1997,INDL,C,D,STD,USD,3.6346,A
10104,31/12/1997,22.312500,-0.330206,476113707,983964,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1997,INDL,C,D,STD,USD,3.6346,A
10104,30/01/1998,23.250000,0.042017,288041223,983964,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1997,INDL,C,D,STD,USD,3.6346,A
10104,27/02/1998,24.625000,0.059140,226912479,973462,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1997,INDL,C,D,STD,USD,3.6346,A
10104,31/03/1998,31.562500,0.281726,285214726,973462,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1997,INDL,C,D,STD,USD,3.6346,A
10104,30/04/1998,25.875000,-0.180198,158757387,973462,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1997,INDL,C,D,STD,USD,3.6346,A
10104,29/05/1998,23.625000,-0.086957,122961762,971850,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1997,INDL,C,D,STD,USD,3.6346,A
10104,30/06/1998,24.562500,0.039683,163795306,971850,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1998,INDL,C,D,STD,USD,3.0386,A
10104,31/07/1998,26.500000,0.078880,168538073,971850,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1998,INDL,C,D,STD,USD,3.0386,A
10104,31/08/1998,19.937500,-0.247642,130921536,971905,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1998,INDL,C,D,STD,USD,3.0386,A
10104,30/09/1998,29.125000,0.460815,215348807,971905,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1998,INDL,C,D,STD,USD,3.0386,A
10104,30/10/1998,29.562500,0.015021,182111380,971905,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1998,INDL,C,D,STD,USD,3.0386,A
10104,30/11/1998,34.250000,0.158562,164583998,959712,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1998,INDL,C,D,STD,USD,3.0386,A
10104,31/12/1998,43.125000,0.259124,193925959,959712,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1998,INDL,C,D,STD,USD,3.0386,A
10104,29/01/1999,55.375000,0.284058,195990955,959712,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1998,INDL,C,D,STD,USD,3.0386,A
10104,26/02/1999,55.875000,0.009029,221045080,959712,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1998,INDL,C,D,STD,USD,3.0386,A
10104,31/03/1999,26.375000,-0.291946,460141060,1439568,ORACLE CORP,012142,10104,ORACLE CORP,31/05/1998,INDL,C,D,STD,USD,3.0386,A
