PERMNO,date,SHRCD,COMNAM,PRIMEXCH,PRC,VOL,RET,SHROUT,MthCalDt,ShrOut,UGVKEY,datadate,indfmt,consol,popsrc,datafmt,curcd,bkvlps,csho,costat
10104,30/01/1987,11,ORACLE SYSTEMS CORP,Q,27.0,40491.0,0.301205,13359.0,30/01/1987,13359.0,12142.0,31/05/1986,INDL,C,D,STD,USD,2.1723,13.189,A
10104,27/02/1987,11,ORACLE SYSTEMS CORP,Q,38.5,31235.0,0.425926,13359.0,27/02/1987,13359.0,12142.0,31/05/1986,INDL,C,D,STD,USD,2.1723,13.189,A
10104,31/03/1987,11,ORACLE SYSTEMS CORP,Q,22.0,21085.0,0.142857,26718.0,31/03/1987,26718.0,12142.0,31/05/1986,INDL,C,D,STD,USD,2.1723,13.189,A
10104,30/04/1987,11,ORACLE SYSTEMS CORP,Q,23.5,55804.0,0.068182,26718.0,30/04/1987,26718.0,12142.0,31/05/1986,INDL,C,D,STD,USD,2.1723,13.189,A
10104,29/05/1987,11,ORACLE SYSTEMS CORP,Q,27.25,31528.0,0.159574,28790.0,29/05/1987,28790.0,12142.0,31/05/1987,INDL,C,D,STD,USD,2.871,28.79,A
10104,30/06/1987,11,ORACLE SYSTEMS CORP,Q,22.25,40403.0,-0.183486,28790.0,30/06/1987,28790.0,12142.0,31/05/1987,INDL,C,D,STD,USD,2.871,28.79,A
10104,31/07/1987,11,ORACLE SYSTEMS CORP,Q,22.75,38808.0,0.022472,28790.0,31/07/1987,28790.0,12142.0,31/05/1987,INDL,C,D,STD,USD,2.871,28.79,A
10104,31/08/1987,11,ORACLE SYSTEMS CORP,Q,26.75,32289.0,0.175824,29070.0,31/08/1987,29070.0,12142.0,31/05/1987,INDL,C,D,STD,USD,2.871,28.79,A
10104,30/09/1987,11,ORACLE SYSTEMS CORP,Q,32.5,40316.0,0.214953,29070.0,30/09/1987,29070.0,12142.0,31/05/1987,INDL,C,D,STD,USD,2.871,28.79,A
10104,30/10/1987,11,ORACLE SYSTEMS CORP,Q,25.0,93751.0,-0.230769,29070.0,30/10/1987,29070.0,12142.0,31/05/1987,INDL,C,D,STD,USD,2.871,28.79,A
