PERMNO,date,SHRCD,COMNAM,PRIMEXCH,PRC,VOL,RET
10104,30/01/1987,11,ORACLE SYSTEMS CORP,Q,27.0,40491.0,0.301205
10104,27/02/1987,11,ORACLE SYSTEMS CORP,Q,38.5,31235.0,0.425926
10104,31/03/1987,11,ORACLE SYSTEMS CORP,Q,22.0,21085.0,0.142857
10104,30/04/1987,11,ORACLE SYSTEMS CORP,Q,23.5,55804.0,0.068182
10104,29/05/1987,11,ORACLE SYSTEMS CORP,Q,27.25,31528.0,0.159574
10104,30/06/1987,11,ORACLE SYSTEMS CORP,Q,22.25,40403.0,-0.183486
10104,31/07/1987,11,ORACLE SYSTEMS CORP,Q,22.75,38808.0,0.022472
10104,31/08/1987,11,ORACLE SYSTEMS CORP,Q,26.75,32289.0,0.175824
10104,30/09/1987,11,ORACLE SYSTEMS CORP,Q,32.5,40316.0,0.214953
10104,30/10/1987,11,ORACLE SYSTEMS CORP,Q,25.0,93751.0,-0.230769
10104,30/11/1987,11,ORACLE SYSTEMS CORP,Q,21.75,38799.0,-0.130000
10104,31/12/1987,11,ORACLE SYSTEMS CORP,Q,14.5,50549.0,0.333333
10104,29/01/1988,11,ORACLE SYSTEMS CORP,Q,14.0,92386.0,-0.034483
10104,29/02/1988,11,ORACLE SYSTEMS CORP,Q,15.125,62892.0,0.080357
10104,31/03/1988,11,ORACLE SYSTEMS CORP,Q,16.25,106929.0,0.074380
10104,29/04/1988,11,ORACLE SYSTEMS CORP,Q,16.75,54140.0,0.030769
10104,31/05/1988,11,ORACLE SYSTEMS CORP,Q,16.75,57265.0,0.000000
10104,30/06/1988,11,ORACLE SYSTEMS CORP,Q,19.75,102794.0,0.179104
10104,29/07/1988,11,ORACLE SYSTEMS CORP,Q,19.0,92467.0,-0.037975
10104,31/08/1988,11,ORACLE SYSTEMS CORP,Q,18.5,70733.0,-0.026316
10104,30/09/1988,11,ORACLE SYSTEMS CORP,Q,20.125,59750.0,0.087838
10104,31/10/1988,11,ORACLE SYSTEMS CORP,Q,15.75,160647.0,-0.217391
10104,30/11/1988,11,ORACLE SYSTEMS CORP,Q,17.25,88420.0,0.095238
10104,30/12/1988,11,ORACLE SYSTEMS CORP,Q,19.5,137117.0,0.130435
10104,31/01/1989,11,ORACLE SYSTEMS CORP,Q,23.625,155258.0,0.211538
10104,28/02/1989,11,ORACLE SYSTEMS CORP,Q,22.5,98195.0,-0.047619
10104,31/03/1989,11,ORACLE SYSTEMS CORP,Q,24.125,140189.0,0.072222
10104,28/04/1989,11,ORACLE SYSTEMS CORP,Q,29.0,120542.0,0.202073
10104,31/05/1989,11,ORACLE SYSTEMS CORP,Q,30.5,108462.0,0.051724
10104,30/06/1989,11,ORACLE SYSTEMS CORP,Q,29.75,107021.0,-0.024590
10104,31/07/1989,11,ORACLE SYSTEMS CORP,Q,15.375,161545.0,0.033613
10104,31/08/1989,11,ORACLE SYSTEMS CORP,Q,18.75,216923.0,0.219512
10104,29/09/1989,11,ORACLE SYSTEMS CORP,Q,23.625,198130.0,0.260000
10104,31/10/1989,11,ORACLE SYSTEMS CORP,Q,23.25,226252.0,-0.015873
10104,30/11/1989,11,ORACLE SYSTEMS CORP,Q,24.0,125514.0,0.032258
10104,29/12/1989,11,ORACLE SYSTEMS CORP,Q,23.375,170790.0,-0.026042
10104,31/01/1990,11,ORACLE SYSTEMS CORP,Q,21.5,348992.0,-0.080214
10104,28/02/1990,11,ORACLE SYSTEMS CORP,Q,22.375,199115.0,0.040698
10104,30/03/1990,11,ORACLE SYSTEMS CORP,Q,18.875,584273.0,-0.156425
10104,30/04/1990,11,ORACLE SYSTEMS CORP,Q,15.875,351419.0,-0.158940
10104,31/05/1990,11,ORACLE SYSTEMS CORP,Q,19.75,400060.0,0.244094
10104,29/06/1990,11,ORACLE SYSTEMS CORP,Q,23.125,310423.0,0.170886
10104,31/07/1990,11,ORACLE SYSTEMS CORP,Q,16.875,365929.0,-0.270270
10104,31/08/1990,11,ORACLE SYSTEMS CORP,Q,11.625,326147.0,-0.311111
10104,28/09/1990,11,ORACLE SYSTEMS CORP,Q,6.5,508562.0,-0.440860
10104,31/10/1990,11,ORACLE SYSTEMS CORP,Q,5.375,231097.0,-0.173077
10104,30/11/1990,11,ORACLE SYSTEMS CORP,Q,7.875,255831.0,0.465116
10104,31/12/1990,11,ORACLE SYSTEMS CORP,Q,7.875,221997.0,0.000000
10104,31/01/1991,11,ORACLE SYSTEMS CORP,Q,9.0,528879.0,0.142857
10104,28/02/1991,11,ORACLE SYSTEMS CORP,Q,9.0,362915.0,0.000000
10104,28/03/1991,11,ORACLE SYSTEMS CORP,Q,9.0,300203.0,0.000000
10104,30/04/1991,11,ORACLE SYSTEMS CORP,Q,9.25,304625.0,0.027778
10104,31/05/1991,11,ORACLE SYSTEMS CORP,Q,7.5,185803.0,-0.189189
10104,28/06/1991,11,ORACLE SYSTEMS CORP,Q,8.5,208040.0,0.133333
10104,31/07/1991,11,ORACLE SYSTEMS CORP,Q,9.125,198074.0,0.073529
10104,30/08/1991,11,ORACLE SYSTEMS CORP,Q,11.25,227320.0,0.232877
10104,30/09/1991,11,ORACLE SYSTEMS CORP,Q,13.375,315330.0,0.188889
10104,31/10/1991,11,ORACLE SYSTEMS CORP,Q,15.75,345189.0,0.177570
10104,29/11/1991,11,ORACLE SYSTEMS CORP,Q,13.5,209976.0,-0.142857
10104,31/12/1991,11,ORACLE SYSTEMS CORP,Q,14.5,230867.0,0.074074
10104,31/01/1992,11,ORACLE SYSTEMS CORP,Q,18.5,465798.0,0.275862
10104,28/02/1992,11,ORACLE SYSTEMS CORP,Q,20.0,197818.0,0.081081
10104,31/03/1992,11,ORACLE SYSTEMS CORP,Q,13.5,422628.0,-0.325000
10104,30/04/1992,11,ORACLE SYSTEMS CORP,Q,13.875,242783.0,0.027778
10104,29/05/1992,11,ORACLE SYSTEMS CORP,Q,14.875,151890.0,0.072072
10104,30/06/1992,11,ORACLE SYSTEMS CORP,Q,15.25,204716.0,0.025210
10104,31/07/1992,11,ORACLE SYSTEMS CORP,Q,18.625,321459.0,0.221311
10104,31/08/1992,11,ORACLE SYSTEMS CORP,Q,17.5,152562.0,-0.060403
10104,30/09/1992,11,ORACLE SYSTEMS CORP,Q,20.0,339689.0,0.142857
10104,30/10/1992,11,ORACLE SYSTEMS CORP,Q,22.25,341814.0,0.112500
10104,30/11/1992,11,ORACLE SYSTEMS CORP,Q,22.25,236258.0,0.000000
10104,31/12/1992,11,ORACLE SYSTEMS CORP,Q,28.375,374149.0,0.275281
10104,29/01/1993,11,ORACLE SYSTEMS CORP,Q,32.5,386650.0,0.145374
10104,26/02/1993,11,ORACLE SYSTEMS CORP,Q,32.75,326605.0,0.007692
10104,31/03/1993,11,ORACLE SYSTEMS CORP,Q,36.75,364735.0,0.122137
10104,30/04/1993,11,ORACLE SYSTEMS CORP,Q,35.625,262532.0,-0.030612
10104,28/05/1993,11,ORACLE SYSTEMS CORP,Q,41.75,318493.0,0.171930
10104,30/06/1993,11,ORACLE SYSTEMS CORP,Q,49.25,349810.0,0.179641
10104,30/07/1993,11,ORACLE SYSTEMS CORP,Q,50.375,308110.0,0.022843
10104,31/08/1993,11,ORACLE SYSTEMS CORP,Q,51.5,344812.0,0.022333
10104,30/09/1993,11,ORACLE SYSTEMS CORP,Q,61.375,381938.0,0.191748
10104,29/10/1993,11,ORACLE SYSTEMS CORP,Q,59.25,363534.0,-0.034623
10104,30/11/1993,11,ORACLE SYSTEMS CORP,Q,31.625,381401.0,0.067511
10104,31/12/1993,11,ORACLE SYSTEMS CORP,Q,28.75,728630.0,-0.090909
10104,31/01/1994,11,ORACLE SYSTEMS CORP,Q,32.125,671367.0,0.117391
10104,28/02/1994,11,ORACLE SYSTEMS CORP,Q,33.0,391451.0,0.027237
10104,31/03/1994,11,ORACLE SYSTEMS CORP,Q,32.125,429079.0,-0.026515
10104,29/04/1994,11,ORACLE SYSTEMS CORP,Q,29.875,506052.0,-0.070039
10104,31/05/1994,11,ORACLE SYSTEMS CORP,Q,34.25,480357.0,0.146444
10104,30/06/1994,11,ORACLE SYSTEMS CORP,Q,37.5,686202.0,0.094891
10104,29/07/1994,11,ORACLE SYSTEMS CORP,Q,38.25,412507.0,0.020000
10104,31/08/1994,11,ORACLE SYSTEMS CORP,Q,42.6875,447523.0,0.116013
10104,30/09/1994,11,ORACLE SYSTEMS CORP,Q,43.0,360215.0,0.007321
10104,31/10/1994,11,ORACLE SYSTEMS CORP,Q,46.0,364292.0,0.069767
10104,30/11/1994,11,ORACLE SYSTEMS CORP,Q,41.25,427795.0,-0.103261
10104,30/12/1994,11,ORACLE SYSTEMS CORP,Q,44.125,525381.0,0.069697
10104,31/01/1995,11,ORACLE SYSTEMS CORP,Q,42.625,443361.0,-0.033994
10104,28/02/1995,11,ORACLE SYSTEMS CORP,Q,31.375,344532.0,0.104106
10104,31/03/1995,11,ORACLE SYSTEMS CORP,Q,31.25,622860.0,-0.003984
10104,28/04/1995,11,ORACLE SYSTEMS CORP,Q,30.5,724738.0,-0.024000
10104,31/05/1995,11,ORACLE SYSTEMS CORP,Q,34.75,845851.0,0.139344
10104,30/06/1995,11,ORACLE CORP,Q,38.625,654762.0,0.111511
10104,31/07/1995,11,ORACLE CORP,Q,41.875,598369.0,0.084142
10104,31/08/1995,11,ORACLE CORP,Q,40.125,551075.0,-0.041791
10104,29/09/1995,11,ORACLE CORP,Q,38.375,1041878.0,-0.043614
10104,31/10/1995,11,ORACLE CORP,Q,43.625,906229.0,0.136808
10104,30/11/1995,11,ORACLE CORP,Q,45.375,676992.0,0.040115
10104,29/12/1995,11,ORACLE CORP,Q,42.375,856421.0,-0.066116
10104,31/01/1996,11,ORACLE CORP,Q,47.75,1068644.0,0.126844
10104,29/02/1996,11,ORACLE CORP,Q,52.0,833324.0,0.089005
10104,29/03/1996,11,ORACLE CORP,Q,47.125,946016.0,-0.093750
10104,30/04/1996,11,ORACLE CORP,Q,33.75,1379344.0,0.074271
10104,31/05/1996,11,ORACLE CORP,Q,33.125,830735.0,-0.018519
10104,28/06/1996,11,ORACLE CORP,Q,39.4375,990892.0,0.190566
10104,31/07/1996,11,ORACLE CORP,Q,39.125,973142.0,-0.007924
10104,30/08/1996,11,ORACLE CORP,Q,35.25,862025.0,-0.099042
10104,30/09/1996,11,ORACLE CORP,Q,42.5625,1011852.0,0.207447
10104,31/10/1996,11,ORACLE CORP,Q,42.3125,788192.0,-0.005874
10104,29/11/1996,11,ORACLE CORP,Q,49.0,843387.0,0.158050
10104,31/12/1996,11,ORACLE CORP,Q,41.75,1264528.0,-0.147959
10104,31/01/1997,11,ORACLE CORP,Q,38.875,1755169.0,-0.068862
10104,28/02/1997,11,ORACLE CORP,Q,39.25,1050155.0,0.009646
10104,31/03/1997,11,ORACLE CORP,Q,38.5625,1689202.0,-0.017516
10104,30/04/1997,11,ORACLE CORP,Q,39.75,1198274.0,0.030794
10104,30/05/1997,11,ORACLE CORP,Q,46.625,1411228.0,0.172956
10104,30/06/1997,11,ORACLE CORP,Q,50.375,1397045.0,0.080429
10104,31/07/1997,11,ORACLE CORP,Q,54.4375,1073295.0,0.080645
10104,29/08/1997,11,ORACLE CORP,Q,38.125,1226555.0,0.050517
10104,30/09/1997,11,ORACLE CORP,Q,36.4375,1572434.0,-0.044262
10104,31/10/1997,11,ORACLE CORP,Q,35.78125,1469451.0,-0.018010
10104,28/11/1997,11,ORACLE CORP,Q,33.3125,1091218.0,-0.068996
10104,31/12/1997,11,ORACLE CORP,Q,22.3125,4761137.0,-0.330206
10104,30/01/1998,11,ORACLE CORP,Q,23.25,2880412.0,0.042017
10104,27/02/1998,11,ORACLE CORP,Q,24.625,2269125.0,0.059140
10104,31/03/1998,11,ORACLE CORP,Q,31.5625,2852147.0,0.281726
10104,30/04/1998,11,ORACLE CORP,Q,25.875,1587574.0,-0.180198
