caldt,b1ret,t90ret,t30ret
30/01/1987,0.006284,0.004961,0.004151
27/02/1987,0.004092,0.004654,0.004309
31/03/1987,0.003873,0.005245,0.005012
30/04/1987,-0.000434,0.005410,0.004285
29/05/1987,0.004298,0.004554,0.003760
30/06/1987,0.009910,0.005619,0.005031
31/07/1987,0.005853,0.004790,0.004058
31/08/1987,0.003542,0.005215,0.004744
30/09/1987,0.000240,0.004621,0.004820
30/10/1987,0.015686,0.008572,0.006040
30/11/1987,0.005826,0.005902,0.003366
31/12/1987,0.005116,0.004921,0.002988
29/01/1988,0.011254,0.005001,0.002762
29/02/1988,0.007677,0.005349,0.004564
31/03/1988,0.003859,0.004803,0.004402
29/04/1988,0.003688,0.004554,0.004577
31/05/1988,0.001617,0.005027,0.005051
30/06/1988,0.007493,0.005473,0.004832
29/07/1988,0.002558,0.004980,0.005060
31/08/1988,0.004328,0.005813,0.005957
30/09/1988,0.008824,0.006366,0.006145
31/10/1988,0.008575,0.006600,0.006074
30/11/1988,0.000707,0.005817,0.005742
30/12/1988,0.004501,0.006759,0.006306
31/01/1989,0.008496,0.007290,0.005766
28/02/1989,0.002672,0.006145,0.006110
31/03/1989,0.006234,0.007611,0.006213
28/04/1989,0.013278,0.007917,0.006810
31/05/1989,0.011499,0.007703,0.008006
30/06/1989,0.014121,0.008402,0.007147
31/07/1989,0.011753,0.007313,0.007040
31/08/1989,0.000374,0.006757,0.006684
29/09/1989,0.005900,0.006565,0.006387
31/10/1989,0.012722,0.007657,0.006820
30/11/1989,0.007850,0.006956,0.006340
29/12/1989,0.005058,0.006462,0.005941
31/01/1990,0.004723,0.007025,0.005852
28/02/1990,0.006603,0.005970,0.005818
30/03/1990,0.004950,0.006457,0.006380
30/04/1990,0.005484,0.007226,0.006829
31/05/1990,0.012023,0.007192,0.006404
29/06/1990,0.009427,0.006500,0.005898
31/07/1990,0.010010,0.007401,0.006704
31/08/1990,0.005492,0.006726,0.006154
28/09/1990,0.007546,0.006269,0.005984
31/10/1990,0.009687,0.006638,0.006559
30/11/1990,0.007964,0.006500,0.005651
31/12/1990,0.009662,0.007378,0.005989
31/01/1991,0.009246,0.006225,0.004637
28/02/1991,0.007135,0.005150,0.004767
28/03/1991,0.006796,0.005189,0.004391
30/04/1991,0.008219,0.006082,0.005335
31/05/1991,0.005667,0.004892,0.004461
28/06/1991,0.004065,0.004511,0.004171
31/07/1991,0.008151,0.005221,0.004840
30/08/1991,0.009562,0.005137,0.004610
30/09/1991,0.008127,0.004981,0.004558
31/10/1991,0.008269,0.005029,0.004246
29/11/1991,0.007926,0.004846,0.003915
31/12/1991,0.010221,0.004796,0.003792
31/01/1992,0.002622,0.003505,0.003059
28/02/1992,0.003748,0.002851,0.002828
31/03/1992,0.002839,0.003454,0.003376
30/04/1992,0.007264,0.004110,0.003303
29/05/1992,0.005982,0.003122,0.002758
30/06/1992,0.006367,0.003652,0.003201
31/07/1992,0.007907,0.003894,0.002892
31/08/1992,0.005392,0.002884,0.002605
30/09/1992,0.007106,0.003376,0.002573
30/10/1992,-0.001585,0.002093,0.002286
30/11/1992,0.001173,0.002163,0.002346
31/12/1992,0.006298,0.003378,0.002270
29/01/1993,0.005234,0.002874,0.002335
26/02/1993,0.004892,0.002229,0.002209
31/03/1993,0.003634,0.002890,0.002538
30/04/1993,0.003972,0.002470,0.002372
28/05/1993,-0.000416,0.002168,0.002168
30/06/1993,0.005124,0.003041,0.002756
30/07/1993,0.002522,0.002675,0.002402
31/08/1993,0.004829,0.002867,0.002530
30/09/1993,0.003242,0.002710,0.002356
29/10/1993,0.002350,0.002431,0.002210
30/11/1993,0.001801,0.002640,0.002477
31/12/1993,0.003365,0.003012,0.002263
31/01/1994,0.004720,0.002867,0.002503
28/02/1994,-0.001965,0.001882,0.002120
31/03/1994,0.000173,0.002940,0.002469
29/04/1994,-0.000950,0.002473,0.002711
31/05/1994,0.002361,0.003416,0.003150
30/06/1994,0.003405,0.003998,0.003118
29/07/1994,0.005569,0.003666,0.002751
31/08/1994,0.004103,0.003755,0.003687
30/09/1994,0.000990,0.003784,0.003659
31/10/1994,0.003913,0.004242,0.003840
30/11/1994,-0.001834,0.003882,0.003691
30/12/1994,0.002553,0.005058,0.004430
31/01/1995,0.010550,0.005188,0.004156
28/02/1995,0.009810,0.004816,0.003983
31/03/1995,0.005120,0.005096,0.004134
28/04/1995,0.006553,0.004629,0.004450
31/05/1995,0.010509,0.005490,0.005355
30/06/1995,0.005600,0.005136,0.004714
31/07/1995,0.004912,0.004856,0.004522
31/08/1995,0.005545,0.005051,0.004637
29/09/1995,0.003820,0.004328,0.004309
31/10/1995,0.006350,0.004808,0.004714
30/11/1995,0.006272,0.004469,0.004108
29/12/1995,0.005909,0.005418,0.004882
31/01/1996,0.006672,0.004883,0.004278
29/02/1996,0.001647,0.003980,0.003908
29/03/1996,0.001324,0.003719,0.003943
30/04/1996,0.003701,0.004557,0.004579
31/05/1996,0.004302,0.004414,0.003982
28/06/1996,0.004751,0.004102,0.004000
31/07/1996,0.004591,0.004798,0.004497
30/08/1996,0.005076,0.004506,0.004122
30/09/1996,0.006292,0.004822,0.004375
31/10/1996,0.007251,0.004262,0.004246
29/11/1996,0.005262,0.004227,0.003941
31/12/1996,0.002863,0.004577,0.004404
31/01/1997,0.004862,0.004517,0.004014
28/02/1997,0.003557,0.003902,0.003788
31/03/1997,0.002222,0.004282,0.004310
30/04/1997,0.006369,0.004844,0.004313
30/05/1997,0.006314,0.004837,0.004263
